{ Name = Centro comercial Moctezuma, Year = 1996, Mounth = 7, Sum = 100.8 }
{ Name = GROSELLA-Restaurante, Year = 1996, Mounth = 7, Sum = 1488.7 }
{ Name = Wilman Kala, Year = 1996, Mounth = 7, Sum = 3601.35 }
{ Name = Wellington Importadora, Year = 1996, Mounth = 7, Sum = 6068.2 }
{ Name = Que Delicia, Year = 1996, Mounth = 7, Sum = 6664.81 }
{ Name = Tradicao Hipermercados, Year = 1996, Mounth = 7, Sum = 8714.06 }
{ Name = Victuailles en stock, Year = 1996, Mounth = 7, Sum = 9182.43 }
{ Name = Chop-suey Chinese, Year = 1996, Mounth = 7, Sum = 12348.88 }
{ Name = Old World Delicatessen, Year = 1996, Mounth = 7, Sum = 15271.12 }
{ Name = Wartian Herkku, Year = 1996, Mounth = 7, Sum = 15648.7 }
{ Name = Blondel pere et fils, Year = 1996, Mounth = 7, Sum = 18534.08 }
{ Name = Richter Supermarkt, Year = 1996, Mounth = 7, Sum = 19343.78 }
{ Name = HILARION-Abastos, Year = 1996, Mounth = 7, Sum = 22768.76 }
{ Name = Supremes delices, Year = 1996, Mounth = 7, Sum = 24088.78 }
{ Name = Frankenversand, Year = 1996, Mounth = 7, Sum = 26656.56 }
{ Name = White Clover Markets, Year = 1996, Mounth = 7, Sum = 27363.61 }
{ Name = Folk och fa HB, Year = 1996, Mounth = 7, Sum = 29567.56 }
{ Name = Hanari Carnes, Year = 1996, Mounth = 7, Sum = 32841.37 }
{ Name = Rattlesnake Canyon Grocery, Year = 1996, Mounth = 7, Sum = 51097.8 }
{ Name = Ernst Handel, Year = 1996, Mounth = 7, Sum = 104874.98 }
{ Name = Vins et alcools Chevalier, Year = 1996, Mounth = 8, Sum = 1040 }
{ Name = Romero y tomillo, Year = 1996, Mounth = 8, Sum = 1467.29 }
{ Name = Comercio Mineiro, Year = 1996, Mounth = 8, Sum = 3810.75 }
{ Name = Morgenstern Gesundkost, Year = 1996, Mounth = 8, Sum = 5042.2 }
{ Name = B's Beverages, Year = 1996, Mounth = 8, Sum = 6089.9 }
{ Name = Reggiani Caseifici, Year = 1996, Mounth = 8, Sum = 7048.24 }
{ Name = Magazzini Alimentari Riuniti, Year = 1996, Mounth = 8, Sum = 7176.21 }
{ Name = Tortuga Restaurante, Year = 1996, Mounth = 8, Sum = 10812.15 }
{ Name = Split Rail Beer & Ale, Year = 1996, Mounth = 8, Sum = 11441.63 }
{ Name = Ricardo Adocicados, Year = 1996, Mounth = 8, Sum = 12450.8 }
{ Name = LILA-Supermercado, Year = 1996, Mounth = 8, Sum = 16076.6 }
{ Name = Lehmanns Marktstand, Year = 1996, Mounth = 8, Sum = 19261.42 }
{ Name = Berglunds snabbkop, Year = 1996, Mounth = 8, Sum = 24927.57 }
{ Name = QUICK-Stop, Year = 1996, Mounth = 8, Sum = 110277.32 }
{ Name = Ana Trujillo Emparedados y helados, Year = 1996, Mounth = 9, Sum = 1402.95 }
{ Name = Du monde entier, Year = 1996, Mounth = 9, Sum = 1615.9 }
{ Name = The Big Cheese, Year = 1996, Mounth = 9, Sum = 3361 }
{ Name = Lonesome Pine Restaurant, Year = 1996, Mounth = 9, Sum = 4258.6 }
{ Name = Island Trading, Year = 1996, Mounth = 9, Sum = 6146.3 }
{ Name = Die Wandernde Kuh, Year = 1996, Mounth = 9, Sum = 9588.43 }
{ Name = Godos Cocina Tipica, Year = 1996, Mounth = 9, Sum = 11446.36 }
{ Name = Hungry Owl All-Night Grocers, Year = 1996, Mounth = 9, Sum = 49979.91 }
{ Name = Bolido Comidas preparadas, Year = 1996, Mounth = 10, Sum = 4232.85 }
{ Name = Pericles Comidas clasicas, Year = 1996, Mounth = 10, Sum = 4242.2 }
{ Name = Furia Bacalhau e Frutos do Mar, Year = 1996, Mounth = 10, Sum = 6427.42 }
{ Name = Princesa Isabel Vinhos, Year = 1996, Mounth = 10, Sum = 6455.94 }
{ Name = Simons bistro, Year = 1996, Mounth = 10, Sum = 16817.09 }
